sac,3209699,3209753,716.4,123.6,357.6,432.0,536.0,473.1257760891917,Banco Estado 2.jpg,None,None
fix,3209753,3209913,360.8,429.0,Banco Estado 2.jpg,None
sac,3209913,3209951,357.9,429.1,238.5,339.6,248.0,149.22000536121152,Banco Estado 2.jpg,None,None
fix,3209951,3210097,240.7,342.4,Banco Estado 2.jpg,None
sac,3210097,3210147,239.3,345.0,138.2,32.4,519.0,328.5421890716625,Banco Estado 2.jpg,None,None
fix,3210147,3210269,133.0,30.3,Banco Estado 2.jpg,None
sac,3210269,3210295,132.4,31.8,124.1,-59.0,247.0,91.17856107660396,Banco Estado 2.jpg,None,None
fix,3210295,3210409,118.1,-49.1,Banco Estado 2.jpg,None
sac,3210409,3210429,116.8,-46.0,173.6,-27.4,128.0,59.76788435271906,Banco Estado 2.jpg,None,None
fix,3210429,3210603,177.3,-26.3,Banco Estado 2.jpg,None
sac,3210603,3210627,178.1,-24.3,277.2,-37.1,192.0,99.92322052456076,Banco Estado 2.jpg,None,None
fix,3210627,3210753,281.5,-32.7,Banco Estado 2.jpg,None
sac,3210753,3210819,282.0,-28.9,316.5,450.1,612.0,480.24082500345594,Banco Estado 2.jpg,None,None
fix,3210819,3210939,313.8,466.8,Banco Estado 2.jpg,None
sac,3210939,3210969,312.9,466.9,241.7,542.9,195.0,104.14144227923866,Banco Estado 2.jpg,None,None
fix,3210969,3211099,252.1,537.4,Banco Estado 2.jpg,None
sac,3211099,3211125,253.0,538.6,199.9,601.6,169.0,82.39302154915791,Banco Estado 2.jpg,None,None
fix,3211125,3211367,202.5,600.6,Banco Estado 2.jpg,None
sac,3211367,3211401,198.8,597.0,425.0,583.1,308.0,226.62667539369676,Banco Estado 2.jpg,None,None
fix,3211401,3211527,419.3,586.4,Banco Estado 2.jpg,None
sac,3211527,3211549,418.9,589.2,486.6,597.6,136.0,68.21913221377127,Banco Estado 2.jpg,None,None
fix,3211549,3211693,478.8,598.2,Banco Estado 2.jpg,None
sac,3211693,3211713,478.0,596.6,542.8,591.4,125.0,65.00830716146972,Banco Estado 2.jpg,None,None
fix,3211713,3211893,550.3,594.8,Banco Estado 2.jpg,None
sac,3211893,3211931,548.0,594.3,771.5,582.6,263.0,223.8060320902902,Banco Estado 2.jpg,None,None
fix,3211931,3212105,762.5,586.9,Banco Estado 2.jpg,None
sac,3212105,3212119,760.4,589.0,731.7,586.5,66.0,28.80867924775442,Banco Estado 2.jpg,None,None
fix,3212119,3212259,728.7,588.2,Banco Estado 2.jpg,None
sac,3212259,3212283,728.6,587.2,815.3,585.6,142.0,86.71476229570135,Banco Estado 2.jpg,None,None
fix,3212283,3212525,819.9,588.5,Banco Estado 2.jpg,None
sac,3212525,3212567,818.4,590.1,1034.1,458.2,301.0,252.83215776479062,Banco Estado 2.jpg,None,None
fix,3212567,3212695,1018.7,470.1,Banco Estado 2.jpg,None
sac,3212695,3212717,1014.7,472.2,1028.8,524.5,133.0,54.16733332923081,Banco Estado 2.jpg,None,None
fix,3212717,3212917,1029.6,524.7,Banco Estado 2.jpg,None
sac,3212917,3212931,1033.0,526.0,1069.6,523.2,86.0,36.70694757127039,Banco Estado 2.jpg,None,None
fix,3212931,3213217,1069.1,524.5,Banco Estado 2.jpg,None
sac,3213217,3213259,1066.6,524.9,961.4,290.3,330.0,257.1073705672398,Banco Estado 2.jpg,None,None
fix,3213259,3213415,960.3,296.2,Banco Estado 2.jpg,None
sac,3213415,3213453,960.8,294.6,772.8,320.3,216.0,189.74849143010334,Banco Estado 2.jpg,None,None
fix,3213453,3213585,773.3,318.2,Banco Estado 2.jpg,None
