sac,2383050,2383062,244.1,88.6,262.7,90.1,48.0,18.660385848100777,Banco de Chile 2.jpg,None,None
fix,2383062,2383266,269.4,93.2,Banco de Chile 2.jpg,None
sac,2383266,2383276,272.6,93.6,287.5,91.9,46.0,14.996666296213945,Banco de Chile 2.jpg,None,None
fix,2383276,2383504,293.7,95.1,Banco de Chile 2.jpg,None
sac,2383504,2383520,296.9,94.9,332.6,96.7,77.0,35.745349347852276,Banco de Chile 2.jpg,None,None
fix,2383520,2383700,333.0,99.2,Banco de Chile 2.jpg,None
sac,2383700,2383752,330.4,98.7,-137.7,-42.8,527.0,489.0192838733458,Banco de Chile 2.jpg,None,None
fix,2383752,2383802,-134.5,-43.0,Banco de Chile 2.jpg,None
sac,2383802,2383818,-145.6,-47.2,-137.6,-39.6,60.0,11.034491379306978,Banco de Chile 2.jpg,None,None
fix,2383818,2383994,-143.1,-41.1,Banco de Chile 2.jpg,None
sac,2383994,2384028,-144.4,-39.3,-137.7,87.5,1878.0,126.97688766070776,Banco de Chile 2.jpg,None,None
fix,2384028,2384186,-135.6,82.3,Banco de Chile 2.jpg,None
sac,2384186,2384258,-131.4,84.7,527.8,439.1,708.0,748.427685217483,Banco de Chile 2.jpg,None,None
fix,2384258,2384464,524.4,437.0,Banco de Chile 2.jpg,None
sac,2384464,2384498,529.0,437.8,601.6,524.0,205.0,112.69960070914182,Banco de Chile 2.jpg,None,None
fix,2384498,2384666,603.6,522.1,Banco de Chile 2.jpg,None
sac,2384666,2384708,607.6,526.0,690.1,358.0,270.0,187.16369840329614,Banco de Chile 2.jpg,None,None
fix,2384708,2384910,688.2,357.6,Banco de Chile 2.jpg,None
sac,2384910,2384924,692.4,359.7,717.2,355.2,61.0,25.204959829366985,Banco de Chile 2.jpg,None,None
fix,2384924,2385078,720.7,359.4,Banco de Chile 2.jpg,None
sac,2385078,2385104,719.8,360.0,712.5,433.3,168.0,73.662609239695,Banco de Chile 2.jpg,None,None
fix,2385104,2385492,710.2,432.3,Banco de Chile 2.jpg,None
fix,2385570,2385754,772.3,430.4,Banco de Chile 2.jpg,None
fix,2385856,2385970,784.6,413.2,Banco de Chile 2.jpg,None
sac,2385970,2385984,786.9,412.1,814.1,414.6,63.0,27.314648084864693,Banco de Chile 2.jpg,None,None
fix,2385984,2386092,819.2,415.3,Banco de Chile 2.jpg,None
sac,2386092,2386106,821.2,417.1,850.8,411.2,72.0,30.18227956931012,Banco de Chile 2.jpg,None,None
fix,2386106,2386400,853.6,414.5,Banco de Chile 2.jpg,None
sac,2386400,2386434,856.2,414.5,704.7,431.9,189.0,152.49593437203498,Banco de Chile 2.jpg,None,None
fix,2386434,2386906,710.4,432.5,Banco de Chile 2.jpg,None
sac,2386906,2386926,708.4,434.2,765.2,429.8,99.0,56.9701676318405,Banco de Chile 2.jpg,None,None
fix,2386926,2387356,772.4,434.8,Banco de Chile 2.jpg,None
sac,2387356,2387374,780.9,436.8,825.3,434.4,79.0,44.46481755275735,Banco de Chile 2.jpg,None,None
