sac,6536818,6536876,678.6,374.2,344.1,332.6,237.0,337.07686067127185,Adidas 1.jpg,None,None
fix,6536876,6537222,347.0,335.3,Adidas 1.jpg,None
sac,6537222,6537262,350.3,336.0,311.0,481.8,263.0,151.00374167549626,Adidas 1.jpg,None,None
fix,6537262,6537380,310.2,473.9,Adidas 1.jpg,None
sac,6537380,6537484,314.7,476.8,317.3,467.8,715.0,9.3680307429043,Adidas 1.jpg,None,None
fix,6537484,6537664,319.8,467.7,Adidas 1.jpg,None
sac,6537664,6537682,320.9,465.4,369.8,468.0,105.0,48.969071871947946,Adidas 1.jpg,None,None
fix,6537682,6538176,370.8,457.8,Adidas 1.jpg,None
sac,6538176,6538246,368.6,449.7,903.7,379.3,312.0,539.7111912865992,Adidas 1.jpg,None,None
fix,6538246,6538666,891.4,385.5,Adidas 1.jpg,None
sac,6538666,6538776,891.7,396.2,282.4,211.8,285.0,636.5923735012855,Adidas 1.jpg,None,None
fix,6538776,6538996,286.5,217.7,Adidas 1.jpg,None
sac,6538996,6539022,282.1,223.1,256.9,122.2,257.0,103.99927884365353,Adidas 1.jpg,None,None
fix,6539022,6539212,249.7,84.6,Adidas 1.jpg,None
sac,6539212,6539302,249.6,81.1,928.0,241.7,345.0,697.150571971364,Adidas 1.jpg,None,None
fix,6539302,6539596,931.3,239.3,Adidas 1.jpg,None
sac,6539596,6539640,931.5,237.8,1001.7,320.7,241.0,108.62987618514532,Adidas 1.jpg,None,None
fix,6539640,6539892,1006.1,328.1,Adidas 1.jpg,None
sac,6539892,6539908,1006.1,327.4,1014.2,321.2,46.0,10.20049018429998,Adidas 1.jpg,None,None
fix,6539908,6540120,1014.0,320.2,Adidas 1.jpg,None
sac,6540120,6540208,1014.1,322.6,436.7,566.9,348.0,626.9555406884926,Adidas 1.jpg,None,None
fix,6540208,6540364,441.3,561.3,Adidas 1.jpg,None
sac,6540364,6540404,441.8,562.0,222.1,683.5,270.0,251.05843941202218,Adidas 1.jpg,None,None
fix,6540404,6540740,203.4,699.5,Adidas 1.jpg,None
sac,6540740,6540764,201.3,698.2,146.9,755.2,157.0,78.79314691012158,Adidas 1.jpg,None,None
fix,6540764,6540956,151.1,748.9,Adidas 1.jpg,None
sac,6540956,6541056,148.5,748.3,36.7,759.3,250.0,112.33984155231838,Adidas 1.jpg,None,None
